#Time X Y Z(m) dE dN dU(m) RMS Ratio GPS BDS
2390 233845 -2267809.966671159490943 5009324.111637563444674 3221016.700236205477268 -153.736904532815231 1581.687295727637547 -7.777000439931385 32.375 6 10
2390 233846 -2267809.966931320261210 5009324.105196324177086 3221016.699798743706197 -153.739797888661997 1581.684744989806404 -7.771816730044407 44.993 6 10
2390 233847 -2267809.966128781903535 5009324.098305369727314 3221016.698000563774258 -153.741908582374151 1581.682935255043958 -7.765211232012092 40.448 6 10
2390 233848 -2267809.966611785814166 5009324.114052481018007 3221016.700781506486237 -153.735854538180433 1581.687931650562405 -7.779151211562748 30.387 6 10
2390 233849 -2267809.968727524857968 5009324.110431716777384 3221016.698062685318291 -153.739275177942545 1581.689040371911688 -7.775680154876454 29.090 6 10
2390 233850 -2267809.968067222274840 5009324.107313067652285 3221016.697455741465092 -153.739959761324997 1581.687980915300614 -7.772690297022137 25.557 6 10
2390 233851 -2267809.966994204092771 5009324.108525251969695 3221016.698847379069775 -153.738482335980734 1581.687118683877770 -7.773967475704694 33.032 6 10
2390 233852 -2267809.964963118545711 5009324.104392401874065 3221016.698698975145817 -153.738336383854687 1581.684907497839504 -7.769928028165850 48.414 6 10
2390 233853 -2267809.966078414581716 5009324.102857592515647 3221016.697417434304953 -153.739985374127457 1581.685534407063415 -7.768468683159853 31.935 6 10
2390 233854 -2267809.965338842477649 5009324.106448049657047 3221016.699367220979184 -153.737830926781044 1581.685362392923480 -7.772013931419593 44.830 6 10
2390 233855 -2267809.966388458386064 5009324.104736274108291 3221016.696472289506346 -153.739493062522968 1581.687283139325245 -7.769572510654427 34.666 6 10
2390 233856 -2267809.965821507386863 5009324.104253518395126 3221016.698090852238238 -153.739175654832422 1581.685546841202722 -7.769814900874820 39.204 6 10
2390 233857 -2267809.965039462316781 5009324.104093596339226 3221016.697682497091591 -153.738529159881807 1581.685660603044425 -7.769204142326998 34.494 6 10
2390 233858 -2267809.965410353615880 5009324.102444336749613 3221016.699522377923131 -153.739547193257522 1581.683390199797032 -7.768976862401757 35.206 6 10
2390 233859 -2267809.966715880203992 5009324.102758926339447 3221016.696593712083995 -153.740606797627493 1581.686331754186085 -7.768199079504939 30.800 6 10
2390 233860 -2267809.966241195332259 5009324.106357345357537 3221016.700557922013104 -153.738690380206378 1581.684484020868240 -7.772868354756355 37.221 6 10
2390 233861 -2267809.964087176136672 5009324.099474790506065 3221016.696964939590544 -153.739566405234712 1581.683940710447359 -7.764877342517281 36.104 6 10
2390 233862 -2267809.966138858813792 5009324.105151163414121 3221016.697862236294895 -153.739094577125286 1581.686225816860997 -7.770515730539557 37.183 6 10
2390 233863 -2267809.964202211704105 5009324.103297646157444 3221016.699831376783550 -153.738094668594897 1581.683265926718832 -7.769374294693733 29.100 6 10
2390 233864 -2267809.965509938541800 5009324.106360087171197 3221016.699572308454663 -153.738023071486111 1581.685180895983194 -7.772109907497907 38.772 6 10
2390 233865 -2267809.964270116761327 5009324.104095013812184 3221016.700386703014374 -153.737827698291028 1581.683171031880192 -7.770306236388649 38.189 6 10
2390 233866 -2267809.963501041289419 5009324.097341936081648 3221016.695712067186832 -153.739912016875508 1581.683909483957905 -7.762359031810689 31.482 6 10
2390 233867 -2267809.962703261990100 5009324.100451853126287 3221016.696300887037069 -153.737902715864720 1581.684674931550944 -7.764814952021339 24.824 6 10
2390 233868 -2267809.963569981511682 5009324.102958608418703 3221016.699743889272213 -153.737658522411834 1581.683051816064562 -7.768839272447536 30.238 6 10
2390 233869 -2267809.964629263617098 5009324.105121505446732 3221016.700275921728462 -153.737731560426369 1581.683816932449417 -7.771182885690763 28.735 6 10
2390 233870 -2267809.964834688697010 5009324.101770593784750 3221016.698929837439209 -153.739300609735324 1581.683467965258160 -7.767942660774281 28.799 6 10
2390 233871 -2267809.964940907433629 5009324.105832095257938 3221016.699990307912230 -153.737722424084552 1581.684457202539306 -7.771705959050280 30.092 6 10
2390 233872 -2267809.966687043663114 5009324.106049219146371 3221016.702074148692191 -153.739223620257576 1581.683128961800094 -7.773555476149625 27.319 6 10
2390 233873 -2267809.967455605044961 5009324.105629341676831 3221016.701235149521381 -153.740096939145417 1581.683818233030024 -7.773072648449954 29.774 6 10
2390 233874 -2267809.964854081626981 5009324.101949337869883 3221016.699037049431354 -153.739244563236355 1581.683462444383849 -7.768144274897935 31.182 6 10
2390 233875 -2267809.965721809770912 5009324.105467331595719 3221016.699661025777459 -153.738584256861145 1581.684735582561871 -7.771529787139457 25.115 6 10
2390 233876 -2267809.964712251909077 5009324.104511952027678 3221016.699871347285807 -153.738058541161308 1581.683900565974682 -7.770528506642080 33.774 6 10
2390 233877 -2267809.966526183299720 5009324.108453181572258 3221016.698624862823635 -153.738085688696287 1581.687178875166410 -7.773631620043403 23.676 6 10
2390 233878 -2267809.968954390846193 5009324.112341485917568 3221016.700781180057675 -153.738694270584517 1581.687630761190348 -7.778640635285058 24.775 6 10
2390 233879 -2267809.964502866379917 5009324.100945375859737 3221016.699736556503922 -153.739338635678450 1581.682321597260170 -7.767587300725637 36.369 6 10
2390 233880 -2267809.967050571925938 5009324.108161036856472 3221016.700259466189891 -153.738683888564026 1581.685745723125365 -7.774419333364960 28.820 6 10
2390 233881 -2267809.966508284676820 5009324.107024081051350 3221016.701056840363890 -153.738658739863752 1581.684418973894935 -7.773739882440481 32.833 6 10
2390 233882 -2267809.966390156187117 5009324.104238245636225 3221016.699929048772901 -153.739699994716659 1581.684075800777919 -7.770939031191887 24.262 6 10
2390 233883 -2267809.965550182387233 5009324.109095955267549 3221016.701651191804558 -153.736931469772060 1581.684665487585789 -7.775327221544330 31.613 6 10
2390 233884 -2267809.966697427444160 5009324.110759246163070 3221016.703089421615005 -153.737290678516899 1581.684437281057853 -7.777770601103271 32.753 6 10
2390 233885 -2267809.965413473080844 5009324.104122019372880 3221016.698395038489252 -153.738858163680959 1581.685138469490767 -7.769721385225637 35.635 6 10
2390 233886 -2267809.963896104134619 5009324.102136651054025 3221016.700257454067469 -153.738294594310275 1581.682297324178762 -7.768571180658313 41.003 6 10
2390 233887 -2267809.965648609213531 5009324.109159403480589 3221016.703023787587881 -153.736994971165757 1581.683533343343470 -7.776109493675790 34.799 6 10
2390 233888 -2267809.963412055280060 5009324.099304209463298 3221016.698685122653842 -153.739021714426315 1581.682238746216854 -7.765377887735411 46.380 6 10
2390 233889 -2267809.965883862692863 5009324.102452270686626 3221016.699311867356300 -153.739975290080963 1581.683674409821606 -7.769044288389807 29.065 6 10
2390 233890 -2267809.965696459636092 5009324.101433662697673 3221016.698801181279123 -153.740224636074629 1581.683603389753671 -7.767919003921037 35.022 6 10
2390 233891 -2267809.965229789260775 5009324.100709029473364 3221016.698875891976058 -153.740098334033576 1581.683105768606765 -7.767222672659386 36.698 6 10
2390 233892 -2267809.965184987057000 5009324.103159266524017 3221016.701116305775940 -153.739047048422321 1581.682301183757090 -7.770267761265529 32.811 6 10
2390 233893 -2267809.965817110612988 5009324.106100820936263 3221016.700304371770471 -153.738409827171097 1581.684494753496892 -7.772387610376711 29.569 6 10
2390 233894 -2267809.963497638236731 5009324.099698046222329 3221016.696791070047766 -153.738937263727848 1581.684070261666193 -7.764754761465582 31.921 6 10
2390 233895 -2267809.967894532717764 5009324.110616339370608 3221016.702274837531149 -153.738440180788530 1581.685323562207941 -7.777669700817540 29.486 6 10
2390 233896 -2267809.967235381715000 5009324.108676698990166 3221016.700538420118392 -153.738639593496885 1581.685782935773204 -7.775031322379789 23.394 6 10
2390 233897 -2267809.966693893540651 5009324.109652034938335 3221016.702318971510977 -153.737744069796804 1581.684587496880113 -7.776509096405931 24.829 6 10
2390 233898 -2267809.966111052315682 5009324.106830118224025 3221016.698821907863021 -153.738376849220572 1581.686170759573542 -7.772310853745182 23.925 6 10
2390 233899 -2267809.966307934373617 5009324.106143707409501 3221016.699427341576666 -153.738839283419964 1581.685372812680725 -7.772149895054923 33.052 6 10
2390 233900 -2267809.964853758923709 5009324.104214454069734 3221016.698065405245870 -153.738310141935813 1581.685347857554916 -7.769427597901995 27.770 6 10
2390 233901 -2267809.964551304932684 5009324.104127482511103 3221016.699863176792860 -153.738070471898141 1581.683695879257812 -7.770165534879084 33.089 6 10
2390 233902 -2267809.964727660641074 5009324.107074477709830 3221016.702510489616543 -153.737015800460995 1581.682817180418851 -7.773885710107976 29.189 6 10
2390 233903 -2267809.963389467447996 5009324.096989237703383 3221016.698076594620943 -153.739955824420690 1581.681686371201522 -7.763244291900293 38.323 6 10
2390 233904 -2267809.966349693480879 5009324.107978211715817 3221016.700207305606455 -153.738120781914802 1581.685559120230664 -7.774000446011996 27.291 6 10
2390 233905 -2267809.966154708061367 5009324.105856333859265 3221016.698728632647544 -153.738818205620817 1581.685809420431497 -7.771514926216355 25.704 6 10
2390 233906 -2267809.966631027404219 5009324.103300048038363 3221016.697610855102539 -153.740306339359961 1581.685688475244433 -7.769110402523154 36.941 6 10
2390 233907 -2267809.967228188645095 5009324.113413858227432 3221016.703795679379255 -153.736679449922576 1581.685169225540676 -7.780400834852088 26.503 6 10
